actor_1_name,actor_1_facebook_likes
CCH Pounder,1000.00
Johnny Depp,40000.00
Christoph Waltz,11000.00
Tom Hardy,27000.00
Doug Walker,131.00
Daryl Sabara,640.00
J.K. Simmons,24000.00
Brad Garrett,799.00
Chris Hemsworth,26000.00
Alan Rickman,25000.00
Henry Cavill,15000.00
Kevin Spacey,18000.00
Giancarlo Giannini,451.00
Peter Dinklage,22000.00
Will Smith,10000.00
Aidan Turner,5000.00
Emma Stone,15000.00
Mark Addy,891.00
Christopher Lee,16000.00
Naomi Watts,6000.00
Leonardo DiCaprio,29000.00
Robert Downey Jr.,21000.00
Liam Neeson,14000.00
Bryce Dallas Howard,3000.00
Albert Finney,883.00
Hugh Jackman,20000.00
Steve Buscemi,12000.00
Glenn Morshower,894.00
Bingbing Li,974.00
Tim Holmes,44000.00
Jeff Bridges,12000.00
Joe Mantegna,1000.00
Ryan Reynolds,16000.00
Tom Hanks,15000.00
Christian Bale,23000.00
Jason Statham,26000.00
Peter Capaldi,17000.00
Jennifer Lawrence,34000.00
Benedict Cumberbatch,19000.00
Eddie Marsan,979.00
Jake Gyllenhaal,15000.00
Charlie Hunnam,16000.00
Harrison Ford,11000.00
A.J. Buckley,275.00
Kelly Macdonald,2000.00
Sofia Boutella,998.00
John Ratzenberger,1000.00
Tzi Ma,268.00
Oliver Platt,1000.00
Robin Wright,18000.00
Channing Tatum,17000.00
Jim Broadbent,1000.00
Amy Poehler,1000.00
Chloë Grace Moretz,17000.00
Jet Li,5000.00
Jimmy Bennett,87000.00
Tom Cruise,10000.00
Jeanne Tripplehorn,711.00
Joseph Gordon-Levitt,23000.00
Scarlett Johansson,19000.00
Angelina Jolie Pitt,11000.00
Gary Oldman,10000.00
Tamsin Egerton,622.00
Keanu Reeves,18000.00
Jon Hamm,4000.00
Judy Greer,2000.00
Damon Wayans Jr.,756.00
Jack McBrayer,975.00
Vivica A. Fox,890.00
Gerard Butler,18000.00
Nick Stahl,648.00
Bradley Cooper,14000.00
Matthew McConaughey,11000.00
Mark Chinnery,544.00
Paul Walker,23000.00
Brad Pitt,11000.00
Nicolas Cage,12000.00
Justin Timberlake,3000.00
Dominic Cooper,3000.00
Bruce Spence,531.00
Jennifer Garner,3000.00
Zack Ward,662.00
Anthony Hopkins,12000.00
Robert Pattinson,21000.00
Janeane Garofalo,1000.00
Bernie Mac,1000.00
Robin Williams,49000.00
Essie Davis,309.00
Josh Gad,1000.00
Steve Bastoni,234.00
Kelli Garner,730.00
Matthew Broderick,2000.00
Seychelle Gabriel,1000.00
Philip Seymour Hoffman,22000.00
Elisabeth Harnois,921.00
Ty Burrell,3000.00
Jada Pinkett Smith,851.00
Toby Stephens,769.00
Ed Begley Jr.,783.00
Bruce Willis,13000.00
John Michael Higgins,957.00
Sam Shepard,820.00
Matt Frewer,986.00
Kevin Rankin,820.00
Chris Evans,11000.00
Colin Salmon,766.00
James D'Arcy,613.00
Don Johnson,982.00
Mark Rylance,535.00
Matt Damon,13000.00
Jim Parsons,17000.00
Salma Hayek,4000.00
Toby Jones,2000.00
Daniel Radcliffe,11000.00
Alfre Woodard,1000.00
Rupert Grint,10000.00
Miguel Ferrer,688.00
Ronny Cox,605.00
Tony Curran,845.00
Jeremy Renner,10000.00
Michael Gough,920.00
Clint Howard,1000.00
Karen Allen,784.00
Suraj Sharma,774.00
Demi Moore,2000.00
Michael Fassbender,13000.00
Nathan Lane,886.00
Vin Diesel,14000.00
Scott Porter,690.00
Shelley Conn,273.00
Morgan Freeman,11000.00
Natalie Portman,20000.00
Alain Delon,936.00
Noel Fisher,833.00
Phaldut Sharma,39.00
Jamie Renée Smith,650.00
Stephen Amell,5000.00
Tim Blake Nelson,596.00
Dwayne Johnson,12000.00
Vincent Schiavelli,811.00
Heath Ledger,13000.00
Kate Winslet,14000.00
James Corden,480.00
George Peppard,669.00
Eva Green,6000.00
Mahadeo Shivraj,383.00
Jacob Tremblay,681.00
Jason Patric,673.00
Sean Hayes,760.00
Chazz Palminteri,979.00
Oprah Winfrey,852.00
Mathew Buck,5.00
Del Zamora,752.00
Djimon Hounsou,3000.00
Cary-Hiroyuki Tagawa,1000.00
Joe Morton,780.00
Denzel Washington,18000.00
Jamie Lee Curtis,2000.00
Robert De Niro,22000.00
Vanessa Williams,1000.00
Eartha Kitt,558.00
Catherine O'Hara,925.00
Josh Hutcherson,14000.00
Jake Busey,660.00
Abbie Cornish,2000.00
Frances Conroy,827.00
Will Ferrell,8000.00
Ray Winstone,1000.00
Jamie Kennedy,490.00
Rosario Dawson,3000.00
Francesca Capaldi,144.00
Ben Gazzara,623.00
Jon Lovitz,11000.00
Ioan Gruffudd,2000.00
Milla Jovovich,14000.00
Chris Noth,962.00
Frank Welker,2000.00
Hayley Atwell,2000.00
Michael Imperioli,873.00
Alexander Gould,1000.00
Orlando Bloom,5000.00
Michael Jeter,693.00
James Franco,11000.00
Martin Short,770.00
Dennis Quaid,2000.00
Holly Hunter,1000.00
Christopher Masterson,1000.00
Logan Lerman,8000.00
Mei Melançon,191.00
Will Forte,622.00
Denis Leary,835.00
Adam Scott,3000.00
Bill Murray,13000.00
Ming-Na Wen,2000.00
Leonard Nimoy,12000.00
Bella Thorne,35000.00
Adam Sandler,11000.00
Haley Joel Osment,3000.00
Marsha Thomason,691.00
Greg Grunberg,833.00
Curtiss Cook,591.00
Alun Armstrong,192.00
Don Cheadle,3000.00
Anne Hathaway,11000.00
William Smith,919.00
Paddy Considine,680.00
Shirley Henderson,887.00
Jeff Bennett,283.00
Caroline Dhavernas,544.00
Meryl Streep,11000.00
Al Pacino,14000.00
Jon Favreau,4000.00
Bob Hoskins,5000.00
F. Murray Abraham,670.00
Li Gong,879.00
Amber Stevens West,584.00
Raymond Cruz,672.00
Roy Scheider,813.00
Julia Roberts,8000.00
Anna Kendrick,10000.00
Larry Miller,611.00
Sarah Michelle Gellar,4000.00
Wood Harris,409.00
Ted Danson,875.00
Kristen Stewart,17000.00
Seth MacFarlane,3000.00
Robert Duvall,3000.00
Tia Carrere,1000.00
Elden Henson,577.00
Roger Rees,1000.00
Vanessa Redgrave,898.00
Elizabeth Montgomery,1000.00
Quincy Jones,340.00
Charlize Theron,9000.00
Michael Emerson,2000.00
Nissim Renard,23.00
Bruce Greenwood,981.00
Sylvester Stallone,13000.00
Charlie Rowe,882.00
Richard Tyson,743.00
Brendan Fraser,3000.00
Fergie,529.00
Olivia Williams,766.00
Adam Goldberg,1000.00
Bob Neill,2.00
Mia Farrow,563.00
Pedro Armendáriz Jr.,67.00
David Oyelowo,1000.00
Sasha Roiz,795.00
Sariann Monaco,163.00
Steve Coogan,1000.00
Jason Flemyng,1000.00
Steve Carell,7000.00
Ariana Richards,610.00
Jerry Stiller,719.00
Harold Perrineau,1000.00
Nicholas Lea,867.00
Loretta Devine,912.00
Adam Arkin,374.00
Ayelet Zurer,745.00
Tom Selleck,19000.00
Julia Ormond,919.00
Bai Ling,582.00
Connie Nielsen,933.00
Christopher Meloni,3000.00
Peter Coyote,548.00
Raven-Symoné,1000.00
Mhairi Calvey,906.00
Albert Brooks,745.00
Martin Landau,940.00
David Gant,21.00
Rory Culkin,710.00
Rupert Everett,692.00
Tim Conway,870.00
Lili Taylor,960.00
Nicole Beharie,898.00
Sanaa Lathan,886.00
LeVar Burton,1000.00
David Hyde Pierce,443.00
Jeremy Irvine,25000.00
Michael Biehn,2000.00
Frank Langella,903.00
Gary Cole,989.00
Theo James,5000.00
James Martin Kelly,394.00
LL Cool J,1000.00
Talisa Soto,349.00
Ron Howard,2000.00
Lea Michele,2000.00
Charlotte Rampling,844.00
Roxanne McKee,576.00
Vincent Pastore,584.00
Max Minghella,614.00
Jenna Fischer,966.00
Michael Raymond-James,788.00
Rufus Sewell,3000.00
Will Patton,537.00
Hector Elizondo,995.00
Colin Firth,14000.00
Rami Malek,3000.00
Goran Visnjic,1000.00
Judge Reinhold,901.00
Finn Wittrock,769.00
Clint Eastwood,16000.00
Delroy Lindo,848.00
Sayed Badreya,600.00
Quvenzhané Wallis,2000.00
Lea Thompson,1000.00
Maura Tierney,509.00
Melina Kanakaredes,394.00
Pamela Reed,324.00
Michael Rapaport,975.00
Caitlin Stasey,623.00
Ian McNeice,268.00
Michael Kelly,963.00
Michael Smiley,177.00
Verne Troyer,645.00
Wayne Knight,967.00
Si Won Choi,21.00
Shawna Waldron,524.00
Craig Stark,46000.00
Eric Dane,2000.00
Jill Hennessy,419.00
Patrick Fugit,835.00
Izabella Scorupco,394.00
Daniel von Bargen,577.00
Natascha McElhone,2000.00
Anjelica Huston,1000.00
Carol Ann Susi,3000.00
Dorian Missick,1000.00
Taylor Lautner,12000.00
Ki Hong Lee,988.00
Billy Burke,2000.00
Misha Gabriel Hamilton,433.00
Estella Warren,658.00
Jennifer Saunders,309.00
Zooey Deschanel,11000.00
Snoop Dogg,881.00
Jim Belushi,854.00
James Babson,366.00
Ivana Milicevic,834.00
Emma Watson,9000.00
Bianca Kajlich,732.00
Romany Malco,966.00
Peter Greene,789.00
Colm Feore,539.00
Gary Dourdan,1000.00
Tate Donovan,650.00
Isaac Hempstead Wright,874.00
Eileen Brennan,1000.00
Ryan Gosling,33000.00
Olivia Wilde,10000.00
Steven Anthony Lawrence,1000.00
Blair Brown,310.00
Cedric the Entertainer,436.00
Bojana Novakovic,2000.00
John Kapelos,510.00
Sunny Mabrey,287.00
Josh Wingate,865.00
Sean Pertwee,722.00
Clifton Collins Jr.,968.00
Robert Forster,889.00
Matt Bomer,20000.00
Marc Blucas,973.00
Dougray Scott,794.00
Kelly Preston,743.00
Odeya Rush,2000.00
Nate Richert,870.00
Jon Heder,970.00
Taylor Negron,1000.00
Robert Baker,142.00
Barry Corbin,883.00
Jesse McCartney,1000.00
Marlon Brando,10000.00
Alyson Hannigan,3000.00
Mila Kunis,15000.00
Eric Idle,795.00
Erika Christensen,931.00
David Carradine,926.00
Christopher Judge,847.00
Xander Berkeley,485.00
Madeline Carroll,1000.00
Charles S. Dutton,534.00
Andrea Corr,57.00
Tom Wilkinson,1000.00
Julie Walters,838.00
Eddie Redmayne,13000.00
Billy Campbell,789.00
Stephen Root,939.00
Sophia Myles,956.00
Denis Lavant,226.00
James Mason,617.00
Norman Reedus,12000.00
Todd Stashwick,277.00
Margot Kidder,593.00
Todd Giebenhain,117.00
Kirsten Dunst,4000.00
Quentin Tarantino,16000.00
Jennifer Ehle,1000.00
Alice Greczyn,631.00
Matt Price,134.00
Kasia Smutniak,211.00
Jaime King,961.00
Rob Paulsen,677.00
Kathleen Freeman,145.00
Lupe Ontiveros,625.00
Joel Courtney,1000.00
Bill Duke,1000.00
