director_name,director_facebook_likes
James Cameron,11000
Gore Verbinski,563
Sam Mendes,0
Christopher Nolan,22000
Doug Walker,131
Andrew Stanton,475
Sam Raimi,0
Nathan Greno,15
Joss Whedon,0
David Yates,282
Zack Snyder,0
Bryan Singer,0
Marc Forster,395
Andrew Adamson,80
Rob Marshall,252
Barry Sonnenfeld,188
Peter Jackson,0
Marc Webb,464
Ridley Scott,0
Chris Weitz,129
Anthony Russo,94
Peter Berg,532
Colin Trevorrow,365
Shane Black,1000
Tim Burton,13000
Brett Ratner,420
Dan Scanlon,37
Michael Bay,0
Joseph Kosinski,364
John Lasseter,487
Martin Campbell,258
Lee Unkrich,125
McG,368
James Wan,0
J.J. Abrams,14000
Baz Luhrmann,1000
Mike Newell,179
Guillermo del Toro,0
Steven Spielberg,14000
Peter Sohn,113
Mark Andrews,56
Justin Lin,681
Roland Emmerich,776
Robert Zemeckis,0
Lana Wachowski,0
Pete Docter,0
Rob Letterman,11
Jon Favreau,4000
Martin Scorsese,17000
Rob Cohen,357
David Ayer,452
Tom Shadyac,293
Doug Liman,218
Kevin Reynolds,58
Stephen Sommers,208
Rupert Sanders,274
Robert Stromberg,171
Matt Reeves,198
Roland Joffé,596
Carl Rinsch,47
Anthony Russo,94
Mike Mitchell,31
Brad Bird,663
Don Hall,38
Rich Moore,66
Robert Zemeckis,0
Roland Emmerich,776
Dean DeBlois,255
Jonathan Mostow,84
James Gunn,571
Christopher Nolan,22000
Christopher Nolan,22000
Hideaki Anno,28
David Fincher,21000
Matthew Vaughn,905
Francis Lawrence,508
Jon Turteltaub,226
Wolfgang Petersen,249
James Bobin,33
Chris Miller,50
Duncan Jones,0
Alan Taylor,230
Michael Apted,150
Oliver Stone,0
Brad Bird,663
Eric Darnell,35
Shawn Levy,189
Gavin Hood,151
Chris Buck,69
George Miller,750
Ron Howard,2000
Kenneth Branagh,0
Byron Howard,59
Hoyt Yeatman,12
Jonathan Liebesman,473
Christopher McQuarrie,188
Joe Johnston,394
Steve Hickner,58
Jennifer Yuh Nelson,90
M. Night Shyamalan,0
Simon Wells,25
David Bowers,42
Joe Wright,456
Rob Minkoff,50
Lee Tamahori,93
Paul Feig,176
Alessandro Carloni,5
Peter Ramsey,52
Dean Parisot,23
Edward Zwick,380
Dean DeBlois,255
Alex Proyas,295
Richard Donner,503
Ang Lee,0
Jon M. Chu,209
Breck Eisner,42
Hironobu Sakaguchi,6
Peter Weir,608
Bill Condon,386
Louis Leterrier,255
,
Alejandro G. Iñárritu,0
David Soren,13
Paul Greengrass,521
Mark Osborne,54
Peyton Reed,235
Tim Johnson,12
Phillip Noyce,176
Darren Aronofsky,0
Alfonso Cuarón,0
Eric Leighton,0
Matt Birch,0
Tom McGrath,96
Chris Columbus,0
Robert Schwentke,124
Carlos Saldanha,107
Guy Ritchie,0
Paul Verhoeven,719
John McTiernan,323
Tony Gilroy,209
Joel Schumacher,541
John Woo,610
Tim Story,167
Mark Steven Johnson,160
Neill Blomkamp,662
David Twohy,123
José Padilha,294
James L. Brooks,274
James Mangold,446
George Lucas,0
Kirk De Micco,16
Frédéric Forestier,0
Cedric Nicolas-Troyan,19
Roger Donaldson,79
Dave Green,13
Josh Trank,128
Brad Peyton,62
Roger Spottiswoode,55
Steven Soderbergh,0
Michel Gondry,1000
Noam Murro,263
Raja Gosnell,67
Will Finn,6
Jan de Bont,101
Len Wiseman,235
Frank Coraci,153
Michael Mann,0
Bo Welch,34
Ron Clements,63
Christopher Barnard,0
Peter Chelsom,23
Dominic Sena,57
James Cameron,0
Tony Scott,12000
Paul Weitz,80
Adam McKay,285
Chuck Russell,55
Quentin Tarantino,16000
Gary Trousdale,21
Mark Dindal,10
Simon West,165
Stefen Fangmeier,14
Spike Jonze,0
Chris Wedge,77
Florian Henckel von Donnersmarck,207
Peter Hyams,0
Tom Tykwer,670
Pitof,26
Brad Silberling,52
Patrick Hughes,385
Ericson Core,19
Lawrence Guterman,6
Ron Underwood,31
Steve Martino,20
David Mamet,342
Yimou Zhang,611
Ash Brannon,9
Frank Oz,0
Jay Roach,116
Luc Besson,0
Michael Patrick King,127
Bibo Bergeron,10
Sergey Bodrov,44
Wally Pfister,0
Rupert Wyatt,81
Mark Waters,70
John Moore,212
John Lee Hancock,102
Renny Harlin,212
Phil Lord,97
Ben Stiller,0
Tony Bancroft,7
Timur Bekmambetov,335
Walt Becker,12
Dennis Dugan,221
Sydney Pollack,521
Thor Freudenthal,87
Brian De Palma,0
Mick Jackson,81
Alan J. Pakula,79
